t_us,volt
33238.0,2.966399
33240.02,2.995404
33242.0,3.021185
33244.0,3.043744
33246.0,3.066303
33248.0,3.088056
33250.0,3.1058316
33252.0,3.12275
33254.0,3.13967
33256.0,3.153366
33258.02,3.166257
33260.0,3.1767308
33262.0,3.186399
33264.0,3.198485
33266.0,3.208152
33268.0,3.217015
33270.0,3.22346
33272.0,3.227488
33273.99,3.23635
33276.02,3.242797
33278.0,3.248436
33280.0,3.2532708
33282.0,3.258105
33284.0,3.262939
33286.0,3.266161
33288.0,3.269384
33290.0,3.273412
33291.99,3.2709952
33294.02,3.27744
33296.0,3.280663
33298.0,3.28308
33300.0,3.284691
33302.0,3.285497
33304.0,3.287914
33306.0,3.28872
33308.0,3.290331
33309.99,3.292748
33312.02,3.046161
33314.0,2.778627
33316.0,2.538484
33318.0,2.3192908
33320.0,2.125072
33322.02,1.9356872
33324.0,1.771279
33326.0,1.618956
33327.99,1.4803796
33330.02,1.3538376
33332.0,1.237821
33334.0,1.1306152
33336.0,1.0355456
33338.0,0.9500934
33340.02,0.867109
33342.0,0.793742
33344.0,0.7268708
33345.99,0.6648338
33348.02,0.609192
33350.0,0.5584344
33352.02,0.5125108
33354.0,0.4673928
33356.0,0.4287204
33358.02,0.3916089
33360.0,0.3601876
33362.0,0.331989
33363.99,0.302179
33366.0,0.2780088
33368.0,0.2546441
33370.02,0.23289076
33372.0,0.2143602
33374.0,0.19739064
33376.02,0.1820828
33378.0,0.1683863
33380.0,0.15388416
33382.0,0.141799
33384.0,0.1281025
33386.0,0.11682304
33388.02,0.10957196
33390.0,0.1007095
33392.0,0.0918471
33394.02,0.08620734
33396.0,0.07895626
33398.0,0.07412224
33400.0,0.06767682
33402.0,0.06203707
33404.0,0.05881435
33406.02,0.05156327
33408.0,0.04914626
33410.0,0.04592355
33412.0,0.04270084
33414.0,0.04028382
33416.0,0.03706112
33418.0,0.03544975
33420.0,0.03222704
33422.0,0.02981002
33424.02,0.02819868
33426.0,0.02739299
33428.0,0.023364616
33430.0,0.023364616
33432.0,0.02255893
33434.0,0.14341032
33436.0,0.4198579
33438.0,0.6680566
33440.0,0.9057816
33442.02,1.104028
33444.0,1.2974408
33446.0,1.4707116
33448.0,1.627819
33450.0,1.772085
33452.0,1.902655
33454.0,2.0235068
33456.0,2.131517
33458.0,2.234644
33460.02,2.325735
33462.0,2.410331
33464.0,2.486115
33466.0,2.557015
33468.0,2.619857
33470.0,2.674643
33472.0,2.730286
33474.0,2.77782
33475.99,2.825355
33478.02,2.867251
33480.0,2.905167
33482.0,2.9382
33484.0,2.96801
33486.0,2.992987
33488.0,3.023602
33490.0,3.047773
33492.0,3.071137
33493.99,3.09289
33496.02,3.108248
33498.0,3.123556
33500.0,3.138058
33502.0,3.152561
33504.0,3.165451
33506.0,3.178342
33508.0,3.189621
33510.0,3.200901
33511.99,3.207346
33514.02,3.216209
33516.0,3.224265
33518.0,3.231516
33520.0,3.238768
33522.0,3.245214
33524.02,3.249242
33526.0,3.254076
33528.0,3.258105
33529.99,3.261327
33532.02,3.263744
33534.0,3.269384
33536.0,3.272606
33538.0,3.273412
33540.0,3.280663
33542.02,3.279857
33544.0,3.282275
33546.0,3.279052
33547.99,3.285497
33550.02,3.287914
33552.0,3.290331
33554.02,3.291137
33556.0,3.293554
33558.0,3.012323
33560.02,2.749622
33562.0,2.511091
33564.0,2.294314
33566.0,2.097679
33568.0,1.91474
33570.0,1.7559716
33572.02,1.6004252
33574.0,1.464266
33576.0,1.336919
33578.02,1.222463
33580.0,1.1185304
33582.0,1.02341
33584.0,0.9380084
33586.0,0.855024
33588.0,0.783268
33590.02,0.7188142
33592.0,0.6591944
33594.0,0.6019408
33596.02,0.554406
33598.0,0.5092882
33600.0,0.4625589
33602.0,0.4246921
33604.0,0.3851636
33606.0,0.3529366
33608.02,0.3255436
33610.0,0.2989562
33612.0,0.272369
33614.0,0.2514214
33616.0,0.23127948
33618.0,0.21194324
33620.0,0.196585
33622.0,0.17966576
33624.0,0.16516368
33626.02,0.15227284
33628.0,0.1409933
33630.0,0.1272968
33632.0,0.11843436
33634.0,0.10876628
33636.0,0.1007095
33638.0,0.09265276
33640.0,0.084596
33642.0,0.07815058
33644.02,0.0708995
33646.0,0.06687112
33648.0,0.06284276
33650.0,0.05881435
33652.0,0.05317464
33654.0,0.05156327
33656.0,0.04270084
33658.0,0.04189516
33659.99,0.03867246
33662.02,0.03706112
33664.0,0.03383841
33666.0,0.03222704
33668.0,0.029004348
33670.0,0.0306157
33672.0,0.024975968
33674.0,0.02417028
33676.0,0.023364616
33677.99,0.02255893
33680.02,0.1772488
33682.0,0.4512796
33684.0,0.6986724
33686.0,0.9259234
33688.0,1.1306152
33690.0,1.32
33692.0,1.490853
33694.0,1.6455432
33695.99,1.786587
33698.02,1.918768
33700.0,2.038008
33702.0,2.150853
33704.0,2.249952
33706.0,2.33782
33708.0,2.42
33710.0,2.494977
33712.0,2.564266
33713.99,2.630331
33716.02,2.685974
33718.0,2.739148
33720.0,2.787489
33722.0,2.830996
33724.0,2.867251
33726.02,2.905973
33728.0,2.942229
33730.0,2.9728448
33731.99,3.001849
33734.02,3.02763
33736.0,3.050995
33738.0,3.071137
33740.0,3.091278
33742.0,3.109054
33744.02,3.125973
33746.0,3.142892
33748.0,3.156589
33749.99,3.16948
33752.02,3.179147
33754.0,3.187204
33756.02,3.200096
33758.0,3.209764
33760.0,3.217821
33762.02,3.225071
33764.0,3.232322
33766.0,3.237962
33768.0,3.243602
33770.0,3.245214
33772.0,3.255687
33774.02,3.258911
33776.0,3.263744
33778.0,3.265355
33780.02,3.268578
33782.0,3.272606
33784.0,3.276635
33786.0,3.276635
33788.0,3.279857
33790.0,3.287914
33792.02,3.284691
33794.0,3.287109
33796.0,3.289525
33798.02,3.28872
33800.0,3.291942
33802.0,3.263744
33804.0,2.976873
33806.0,2.7182
33808.0,2.484504
33810.02,2.268482
33812.0,2.0743132
33814.0,1.895403
33816.0,1.733412
33818.0,1.5835064
33820.0,1.446541
33822.0,1.3232224
33824.0,1.210378
33826.0,1.1072512
33828.02,1.013742
33830.0,0.9291462
33832.0,0.8485786
33834.0,0.7760172
33836.0,0.7107576
33838.0,0.6511374
33840.0,0.5971068
33842.0,0.5455436
33844.0,0.4980085
33846.02,0.4585305
33848.0,0.4158296
33850.0,0.3835522
33852.0,0.3505195
33854.0,0.3231265
33856.0,0.2941222
33858.0,0.2707576
33860.0,0.2481986
33861.99,0.2288624
33864.02,0.21033176
33866.0,0.19175096
33868.0,0.1772488
33870.0,0.1627466
33872.0,0.14985576
33874.0,0.1377706
33876.0,0.1264912
33878.0,0.11843436
33879.99,0.10634928
33882.02,0.0982925
33884.0,0.09023572
33886.0,0.0837903
33888.0,0.07815058
33890.0,0.07331654
33892.0,0.06687112
33894.0,0.0604257
33896.0,0.05317464
33897.99,0.05236894
33900.02,0.04914626
33902.0,0.0443122
33904.0,0.04350652
33906.0,0.03867246
33908.0,0.03625542
33910.02,0.03464409
33912.0,0.03142138
33914.0,0.029004348
33915.99,0.02819868
33918.02,0.025781632
33920.0,0.02417028
33922.0,0.023364616
33924.0,0.02094758
33926.0,0.2127489
33928.02,0.4810894
33930.0,0.7276764
33932.0,0.9492878
33933.99,1.1523684
33936.02,1.339336
33938.0,1.509384
33940.0,1.6649296
33942.0,1.8059236
33944.0,1.934076
33946.02,2.050093
33948.0,2.154881
33950.0,2.256397
33951.99,2.345877
33954.02,2.426445
33956.0,2.504646
33958.02,2.572323
33960.0,2.635166
33962.0,2.690807
33964.02,2.740759
33966.0,2.791518
33968.0,2.835024
33970.0,2.876113
33972.0,2.913224
33974.0,2.946257
33976.02,2.976067
33978.0,3.001044
33980.0,3.028436
33982.02,3.053413
33984.0,3.075971
33986.0,3.093696
33988.0,3.112276
33990.0,3.129196
33992.0,3.143698
33994.02,3.158201
33996.0,3.168674
33998.0,3.181565
34000.02,3.192039
34002.0,3.201707
34004.0,3.21057
34006.0,3.217821
34008.0,3.226683
34010.0,3.231516
34012.02,3.240379
34014.0,3.245214
34016.0,3.250048
34018.0,3.255687
34020.0,3.259715
34022.0,3.263744
34024.0,3.262939
34026.0,3.27019
34028.0,3.274218
34030.02,3.276635
34032.0,3.278246
34034.0,3.281469
34036.0,3.282275
34038.0,3.28308
34040.0,3.28308
34042.0,3.28872
34044.0,3.289525
34046.0,3.291942
34048.02,3.2291
34050.0,2.945451
34052.0,2.690807
34054.0,2.453838
34056.0,2.245923
34058.0,2.050093
34060.0,1.8744556
34062.0,1.7148816
34063.99,1.5665868
34066.02,1.4336
34068.0,1.3103316
34070.0,1.1974868
34072.0,1.09436
34074.0,1.002463
34076.0,0.917061
34078.0,0.8397158
34080.0,0.7703774
34081.99,0.7027006
34084.02,0.6463036
34086.0,0.58905
34088.0,0.539904
