t_us,volt
28220.01,0.04270084
28222.0,0.04189516
28224.01,0.03867246
28226.0,0.03544975
28228.01,0.03303272
28230.01,0.0306157
28232.0,0.029004348
28234.0,0.02658732
28236.0,0.1909453
28238.01,0.4488622
28240.0,0.68417
28242.01,0.8953076
28244.01,1.0959712
28246.0,1.2781044
28248.01,1.4424624
28250.01,1.5923684
28252.0,1.732606
28254.0,1.8615652
28256.01,1.9783884
28258.0,2.088816
28260.0,2.1863032
28262.01,2.276589
28264.0,2.358768
28266.01,2.432085
28268.01,2.504646
28270.0,2.570711
28272.0,2.631137
28274.01,2.684362
28276.0,2.734314
28278.0,2.779433
28280.01,2.822938
28282.0,2.858388
28284.01,2.898722
28286.01,2.930949
28288.0,2.961564
28290.0,2.988959
28292.0,3.014739
28294.0,3.0372992
28296.0,3.055829
28298.01,3.078388
28300.0,3.096969
28302.01,3.115499
28304.01,3.130001
28306.0,3.143698
28308.0,3.154977
28310.0,3.167868
28312.01,3.173508
28314.0,3.18801
28316.01,3.197679
28318.0,3.208152
28320.01,3.217015
28322.01,3.224265
28324.0,3.228294
28326.0,3.233934
28328.0,3.24199
28330.01,3.24602
28332.0,3.250854
28334.01,3.255687
28336.01,3.259715
28338.0,3.262939
28340.01,3.265355
28342.0,3.266161
28344.0,3.272606
28346.0,3.275829
28348.01,3.278246
28350.0,3.279857
28352.01,3.282275
28354.01,3.284691
28356.0,3.285497
28358.01,3.241185
28360.01,2.973649
28362.0,2.727868
28364.0,2.503034
28366.01,2.300759
28368.0,2.113793
28370.0,1.940521
28372.01,1.780947
28374.0,1.639098
28376.01,1.50455
28378.01,1.3828424
28380.0,1.272465
28382.0,1.1676768
28384.0,1.074218
28386.0,0.988766
28388.0,0.907393
28390.01,0.8348818
28392.0,0.7687662
28394.01,0.7075348
28396.01,0.649526
28398.01,0.598718
28400.0,0.551989
28402.0,0.5060654
28404.0,0.4665872
28406.0,0.4311374
28408.01,0.3932204
28410.0,0.3642159
28412.01,0.3352117
28414.01,0.30943
28416.0,0.2852596
28418.0,0.2618951
28420.0,0.2409475
28422.01,0.22322264
28424.0,0.2022247
28426.01,0.1893339
28428.01,0.17644308
28430.0,0.1619409
28432.01,0.1490501
28434.0,0.14018764
28436.0,0.1281025
28438.0,0.1192401
28440.01,0.11037764
28442.0,0.1023209
28444.01,0.09345846
28446.01,0.0886244
28448.0,0.0813733
28450.01,0.07573358
28452.01,0.06848246
28454.0,0.0644541
28456.0,0.0604257
28458.01,0.05639736
28460.0,0.04834056
28462.0,0.04995193
28464.01,0.04592355
28466.0,0.04189516
28468.01,0.03947813
28470.01,0.03625542
